description,operator,contact:phone,opening_hours,lat,lon,source,amenity
東門站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.034157,121.527972,data.taipei,drinking_water
大安森林公園站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.063067,121.552116,data.taipei,drinking_water
大安站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.033164,121.544005,data.taipei,drinking_water
大安站(信義)飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.033164,121.544005,data.taipei,drinking_water
大安森林公園飲水機,工務局公園處青年管理所,+886 02 23032451,00:00-24:00,25.032738,121.536303,data.taipei,drinking_water
科技大樓站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.026134,121.543472,data.taipei,drinking_water
忠孝新生站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.042746,121.531944,data.taipei,drinking_water
大佳河濱公園飲水機,工務局水利工程處,+886 02 27126390,00:00-24:00,25.075124,121.530697,data.taipei,drinking_water
美術公園飲水機,工務局公園處圓山管理所,+886 02 25850192,00:00-24:00,25.069227,121.523767,data.taipei,drinking_water
臺北市立圖書館大直分館飲水機,臺北市立圖書館大直分館,+886 02 25336535,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.08185,121.546687,data.taipei,drinking_water
臺北市立中山運動中心飲水機,臺北市立中山運動中心,+886 02 25811060,06:00-22:00,25.05489,121.521393,data.taipei,drinking_water
臺北市立圖書館恆安民眾閱覽室飲水機,臺北市立圖書館恆安民眾閱覽室,+886 02 25935482,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.064394,121.527136,data.taipei,drinking_water
花博公園飲水機,工務局公園處圓山管理所,+886 02 21828886,00:00-24:00,121.52122,25.070663,data.taipei,drinking_water
松江南京站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.051352,121.532918,data.taipei,drinking_water
臺北市立圖書館中山分館飲水機,臺北市立圖書館中山分館,+886 02 25026442,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.064426,121.533457,data.taipei,drinking_water
臺北市立聯合醫院林森中醫院區飲水機,臺北市立聯合醫院林森中醫院區,+886 02 25916681#533,00:00-24:00,25.063291,121.525628,data.taipei,drinking_water
臺北市立圖書館長安分館飲水機,臺北市立圖書館長安分館,+886 02 25625510,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.05021,121.520954,data.taipei,drinking_water
大直站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.079658,121.546882,data.taipei,drinking_water
雙連站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.057496,121.520579,data.taipei,drinking_water
民權西路站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.062605,121.519547,data.taipei,drinking_water
中山國小站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.062701,121.526682,data.taipei,drinking_water
榮星花園飲水機,工務局公園處圓山管理所,+886 02 25850192,00:00-24:00,25.0641,121.53844,data.taipei,drinking_water
行天宮站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.059975,121.533192,data.taipei,drinking_water
新生高架籃球場飲水機,體育局,+886 02 25702330#6513,00:00-24:00,25.044894,121.530377,data.taipei,drinking_water
中山市場飲水機,北水處北區分處,+886 02 21004115,00:00-24:00,25.050094,121.521021,data.taipei,drinking_water
中山站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.052423,121.520302,data.taipei,drinking_water
南京復興站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.052392,121.544527,data.taipei,drinking_water
林森公園飲水機,工務局公園處圓山管理所,+886 02 25850192,00:00-24:00,25.05289,121.526297,data.taipei,drinking_water
中山國中站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.060836,121.544022,data.taipei,drinking_water
新生公園飲水機,工務局公園處圓山管理所,+886 02 25850192,00:00-24:00,25.068788,121.53243,data.taipei,drinking_water
臺北市立聯合醫院和平院區飲水機,臺北市立聯合醫院和平院區,+886 02 23889595,00:00-24:00,25.035561,121.506588,data.taipei,drinking_water
臺北市立圖書館古亭分館飲水機,臺北市立圖書館古亭分館,+886 02 23678734,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.022545,121.523804,data.taipei,drinking_water
臺北市立中正運動中心飲水機,臺北市立中正運動中心,+886 02 33225016,06:00-22:00,25.038234,121.519291,data.taipei,drinking_water
臺北植物園飲水機,臺北植物園,+886 02 23039978,05:30-22:00,25.03196,121.50977,data.taipei,drinking_water
臺北市立聯合醫院和平婦幼院區飲水機,臺北市立聯合醫院和平婦幼院區,+886 02 23916470#214,00:00-24:00,25.029082,121.519268,data.taipei,drinking_water
臺北市立圖書館城中分館飲水機,臺北市立圖書館城中分館,+886 02 23938274,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.040328,121.530854,data.taipei,drinking_water
台大醫院站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.040962,121.515774,data.taipei,drinking_water
台北車站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.046485,121.517253,data.taipei,drinking_water
善導寺站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.044999,121.523221,data.taipei,drinking_water
二二八和平公園飲水機,工務局公園處青年管理所,+886 02 23032451,00:00-24:00,25.040898,121.515403,data.taipei,drinking_water
小南門站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.035359,121.511382,data.taipei,drinking_water
中正紀念堂站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.034899,121.517187,data.taipei,drinking_water
中正區公所飲水機,中正區公所,+886 02 23416721,08:00-18:00,25.032211,121.518347,data.taipei,drinking_water
古亭站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.027499,121.522304,data.taipei,drinking_water
台電大樓站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.019779,121.528519,data.taipei,drinking_water
公館站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.014685,121.534767,data.taipei,drinking_water
西門站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.042309,121.508805,data.taipei,drinking_water
臺北市立圖書館東湖分館飲水機,臺北市立圖書館東湖分館,+886 02 26323378,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.067415,121.61261,data.taipei,drinking_water
臺北市立圖書館西中分館飲水機,臺北市立圖書館西中分館,+886 02 87515497,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.083659,121.562154,data.taipei,drinking_water
臺北市立圖書館西湖分館飲水機,臺北市立圖書館西湖分館,+886 02 27973183,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.07894,121.577561,data.taipei,drinking_water
臺北市立圖書館內湖分館飲水機,臺北市立圖書館內湖分館,+886 02 27918772,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.069239,121.589128,data.taipei,drinking_water
大湖公園飲水機,工務局公園處圓山管理所,+886 02 25851430,00:00-24:00,121.603267,25.080472,data.taipei,drinking_water
臺北市立內湖運動中心飲水機,臺北市立內湖運動中心,+886 02 26277776,06:00-22:00,25.078266,121.575229,data.taipei,drinking_water
西湖站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.082022,121.567139,data.taipei,drinking_water
港墘站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.080116,121.575722,data.taipei,drinking_water
文德站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.078349,121.584465,data.taipei,drinking_water
內湖站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.083822,121.594299,data.taipei,drinking_water
大湖公園站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.083679,121.602242,data.taipei,drinking_water
葫洲站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.072543,121.607194,data.taipei,drinking_water
東湖站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.06709,121.611888,data.taipei,drinking_water
內湖運動公園飲水機,衛工處,+886 02 87919494#103,00:00-24:00,25.068674,121.574422,data.taipei,drinking_water
臺北市立圖書館力行分館飲水機,臺北市立圖書館力行分館,+886 02 86612196,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,24.979634,121.55648,data.taipei,drinking_water
臺北市立圖書館永建分館飲水機,臺北市立圖書館永建分館,+886 02 22367448,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,24.987736,121.550974,data.taipei,drinking_water
臺北市立圖書館木柵分館飲水機,臺北市立圖書館木柵分館,+886 02 29397520,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,24.986603,121.56814,data.taipei,drinking_water
臺北市立圖書館景新分館飲水機,臺北市立圖書館景新分館,+886 02 29331244,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,24.990137,121.542022,data.taipei,drinking_water
臺北市立圖書館萬芳民眾閱覽室飲水機,臺北市立圖書館萬芳民眾閱覽室,+886 02 22305233,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.002215,121.569178,data.taipei,drinking_water
臺北市立圖書館萬興分館飲水機,臺北市立圖書館萬興分館,+886 02 22345501,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,24.988685,121.576501,data.taipei,drinking_water
臺北市立圖書館文山分館飲水機,臺北市立圖書館文山分館,+886 02 29315339,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,24.999697,121.547614,data.taipei,drinking_water
臺北市立文山運動中心飲水機,臺北市立文山運動中心,+886 02 22308268,06:00-22:00,24.997445,121.559465,data.taipei,drinking_water
臺北市立圖書館安康民眾閱覽室飲水機,臺北市立圖書館安康民眾閱覽室,+886 02 29390180,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,24.987728,121.5608,data.taipei,drinking_water
臺北市立圖書館景美分館飲水機,臺北市立圖書館景美分館,+886 02 29328457,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.003607,121.536345,data.taipei,drinking_water
木柵站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,24.998202,121.573381,data.taipei,drinking_water
辛亥站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.00512,121.557015,data.taipei,drinking_water
景華公園飲水機,工務局公園處南港管理所,+886 02 27884255,00:00-24:00,24.995231,121.5431,data.taipei,drinking_water
景美運動公園飲水機,工務局公園處南港管理所,+886 02 27884255,00:00-24:00,121.544136,25.002735,data.taipei,drinking_water
臺北市立動物園飲水機,臺北市立動物園,+886 02 29382300#630,09:00-17:00,121.5807,24.99859,data.taipei,drinking_water
貓空纜車動物園站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,24.996052,121.576164,data.taipei,drinking_water
動物園站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,24.998276,121.579897,data.taipei,drinking_water
萬芳社區站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,24.998599,121.568384,data.taipei,drinking_water
興隆公園飲水機,工務局公園處南港管理所,+886 02 27884256,00:00-24:00,25.000615,121.551876,data.taipei,drinking_water
萬芳醫院站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,24.999333,121.557732,data.taipei,drinking_water
萬隆站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.002793,121.538626,data.taipei,drinking_water
景美站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,24.99223,121.540694,data.taipei,drinking_water
奇岩站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.1261,121.500942,data.taipei,drinking_water
關渡站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.125539,121.467283,data.taipei,drinking_water
新北投站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.136996,121.50343,data.taipei,drinking_water
復興崗站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.13766,121.485365,data.taipei,drinking_water
忠義站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.131062,121.473214,data.taipei,drinking_water
復興公園飲水機,產發局公用事業科,+886 02 27208889,00:00-24:00,25.138884,121.502129,data.taipei,drinking_water
臺北市立圖書館秀山民眾閱覽室飲水機,臺北市立圖書館秀山民眾閱覽室,+886 02 28921475,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.145541,121.493219,data.taipei,drinking_water
臺北市立圖書館清江分館飲水機,臺北市立圖書館清江分館,+886 02 28960315,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.127728,121.50736,data.taipei,drinking_water
臺北市立北投運動中心飲水機,臺北市立北投運動中心,+886 02 28202880,06:00-22:00,25.116473,121.509762,data.taipei,drinking_water
臺北市立圖書館永明閱覽室飲水機,臺北市立圖書館永明閱覽室,+886 02 28234141,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.118068,121.517176,data.taipei,drinking_water
臺北市立圖書館吉利分館飲水機,臺北市立圖書館吉利分館,+886 02 28201633,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.119288,121.508402,data.taipei,drinking_water
臺北市立圖書館北投分館飲水機,臺北市立圖書館北投分館,+886 02 28912095,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.136298,121.506296,data.taipei,drinking_water
臺北市立圖書館石牌分館飲水機,臺北市立圖書館石牌分館,+886 02 28239634,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.113142,121.522624,data.taipei,drinking_water
臺北市立圖書館稻香分館飲水機,臺北市立圖書館稻香分館,+886 02 28940662,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.140967,121.489548,data.taipei,drinking_water
石牌站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.114852,121.515189,data.taipei,drinking_water
七星公園飲水機,工務局公園處陽明山管理所,+886 02 28616533,00:00-24:00,25.13655,121.502348,data.taipei,drinking_water
北投站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.132068,121.498234,data.taipei,drinking_water
明德站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.109317,121.519024,data.taipei,drinking_water
唭哩岸站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.120823,121.506824,data.taipei,drinking_water
前山公園飲水機,工務局公園處陽明山管理所,+886 02 28616534,00:00-24:00,25.150675,121.548623,data.taipei,drinking_water
硫磺谷遊憩區飲水機,產發局公用事業科,+886 02 27208889,00:00-24:00,25.143723,121.521581,data.taipei,drinking_water
泉源公園飲水機,工務局公園處陽明山管理所,+886 02 28616533,00:00-24:00,25.141778,121.50968,data.taipei,drinking_water
松山站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.050361,121.578119,data.taipei,drinking_water
臺北市立圖書館松山分館飲水機,臺北市立圖書館松山分館,+886 02 27531875,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.049847,121.57685,data.taipei,drinking_water
臺北市立圖書館三民分館飲水機,臺北市立圖書館三民分館,+886 02 27600408,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.059315,121.562908,data.taipei,drinking_water
臺北市立圖書館中崙分館飲水機,臺北市立圖書館中崙分館,+886 02 87736858,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.048407,121.545756,data.taipei,drinking_water
臺北市立圖書館啟明分館飲水機,臺北市立圖書館啟明分館,+886 02 25148443,09:00-17:00,25.054339,121.551794,data.taipei,drinking_water
臺北市立圖書館民生分館飲水機,臺北市立圖書館民生分館,+886 02 27138083,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.057122,121.55113,data.taipei,drinking_water
臺北市立松山運動中心飲水機,臺北市立松山運動中心,+886 02 66176789,06:00-22:00,25.048607,121.550231,data.taipei,drinking_water
台北小巨蛋站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.051515,121.551023,data.taipei,drinking_water
南京三民站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.051539,121.563305,data.taipei,drinking_water
民權公園飲水機,工務局公園處南港管理所,+886 02 27884255,00:00-24:00,25.059878,121.551933,data.taipei,drinking_water
松山機場站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.063067,121.552116,data.taipei,drinking_water
三民公園飲水機,工務局公園處圓山管理所,+886 02 25850192,00:00-24:00,25.062557,121.568151,data.taipei,drinking_water
市政大樓飲水機,市政大樓公管中心,+886 02 27208889,08:00-18:00,25.037214,121.564472,data.taipei,drinking_water
國父紀念館飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.041116,121.557942,data.taipei,drinking_water
市政府站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.040958,121.565295,data.taipei,drinking_water
永春站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.040836,121.576648,data.taipei,drinking_water
信義414號飲水機,公園處南港所,+886 02 27884255,00:00-24:00,25.02701,121.558836,data.taipei,drinking_water
臺北市政府大樓飲水機,臺北市政府大樓,+886 02 27208889,,25.037525,121.563782,data.taipei,drinking_water
臺北市立圖書館三興分館飲水機,臺北市立圖書館三興分館,+886 02 87321063,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.029075,121.561188,data.taipei,drinking_water
臺北市立圖書館永春分館飲水機,臺北市立圖書館永春分館,+886 02 27609730,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.043069,121.577577,data.taipei,drinking_water
臺北市立圖書館六合分館飲水機,臺北市立圖書館六合分館,+886 02 27292485,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.024541,121.568918,data.taipei,drinking_water
臺北市立信義運動中心飲水機,臺北市立信義運動中心,+886 02 87861911,06:00-22:00,25.031866,121.566678,data.taipei,drinking_water
臺北市立聯合醫院松德院區飲水機,臺北市立聯合醫院松德院區,+886 02 27263141#1390,00:00-24:00,25.030508,121.574895,data.taipei,drinking_water
信義安和站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.033316,121.553587,data.taipei,drinking_water
象山站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.032733,121.569546,data.taipei,drinking_water
台北101/世貿站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.033143,121.5632,data.taipei,drinking_water
玉成公園飲水機,工務局公園處南港管理所,+886 02 27884255,00:00-24:00,25.042417,121.587277,data.taipei,drinking_water
後山埤站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.04528,121.582872,data.taipei,drinking_water
昆陽站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.050608,121.593627,data.taipei,drinking_water
南港站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.051943,121.607446,data.taipei,drinking_water
南港公園飲水機,工務局公園處南港管理所,+886 02 27884255,00:00-24:00,25.046018,121.591209,data.taipei,drinking_water
臺北市立南港運動中心飲水機,臺北市立南港運動中心,+886 02 22536279,06:00-22:00,25.048938,121.58184,data.taipei,drinking_water
臺北市立聯合醫院忠孝院區飲水機,臺北市立聯合醫院忠孝院區,+886 02 27861288#8094,00:00-24:00,25.046533,121.586075,data.taipei,drinking_water
臺北市立圖書館龍華民眾閱覽室飲水機,臺北市立圖書館龍華民眾閱覽室,+886 02 27851740,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.046144,121.586757,data.taipei,drinking_water
臺北市立圖書館南港分館飲水機,臺北市立圖書館南港分館,+886 02 27825232,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.054003,121.607753,data.taipei,drinking_water
臺北市立圖書館舊莊分館飲水機,臺北市立圖書館舊莊分館,+886 02 27837212,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.041307,121.619483,data.taipei,drinking_water
南港展覽館站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.055104,121.618266,data.taipei,drinking_water
南港軟體園區站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.060354,121.616028,data.taipei,drinking_water
青年公園飲水機,公園處,+886 02 23032451,00:00-24:00,25.02072,121.50487,data.taipei,drinking_water
青年公園飲水機,工務局公園處青年管理所,+886 02 23032451,00:00-24:00,25.025879,121.506281,data.taipei,drinking_water
龍山寺站飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.035497,121.499564,data.taipei,drinking_water
臺北市立圖書館萬華分館飲水機,臺北市立圖書館萬華分館,+886 02 23391056,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.027925,121.495727,data.taipei,drinking_water
臺北市立萬華運動中心飲水機,臺北市立萬華運動中心,+886 02 23818878,06:00-22:00,25.047408,121.506753,data.taipei,drinking_water
台北市立聯合醫院林森中醫昆明院區飲水機,臺北市立聯合醫院中醫院區,+886 02 23887008,00:00-24:00,25.044324,121.50492,data.taipei,drinking_water
臺北市立圖書館東園分館飲水機,臺北市立圖書館東園分館,+886 02 23070460,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.022722,121.498094,data.taipei,drinking_water
臺北市立圖書館龍山分館飲水機,臺北市立圖書館龍山分館,+886 02 23311497,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.038549,121.502339,data.taipei,drinking_water
臺北市立圖書館西園分館飲水機,臺北市立圖書館西園分館,+886 02 23069046,Tu-Sa 08:30-21:00; Su-Mo 09:00-17:00,25.032193,121.501718,data.taipei,drinking_water
臺北市立圖書館柳鄉民眾閱覽室飲水機,臺北市立圖書館柳鄉民眾閱覽室,+886 02 23080586,09:00-17:00,25.036893,121.495492,data.taipei,drinking_water
花卉試驗中心苗圃飲水機,公園處花卉試驗中心,+886 02 28612247,00:00-24:00,25.134956,121.544435,data.taipei,drinking_water
