Administrative area,Place Name,Accommodation address,Management Unit,Telephone,Place Opening Hours,"
Drinking Fountains Quantity",Latitude,Longitude
Daan,Taipei City Hospital Renai Branch,"No.10, Sec. 4, Renai Rd., Daan Dist., Taipei City",Taipei City Hospital Renai Branch,02-27093600,00:00~24:00,53,25.037512,121.545224
Daan,Linguang MRT station,"No.410, Sec. 3, Heping E. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.01864,121.5586
Zhongshan,Dajia Riverside Park,Dajia Riverside Park,"Hydraulic Engineering Office, Public Works Department",02-27126390,00:00~24:00,8,25.075124,121.530697
Zhongshan,Dazhi MRT station,"No. 534-1, Bei-an Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.079658,121.546882
Zhongshan,Zhongshan Market,"No.3, Changan W. Rd., Zhongshan Dist., Taipei City",Taipei Water Department,02-21004115,00:00~24:00,1,25.050094,121.521021
Zhongshan,Zhongshan Metro Mall,Between MRT Taipei Main Station and MRT Shuanglian Station.,Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.055401,121.520545
Zhongshan,Zhongshan MRT station,"No. 16, Nanjing W. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,3,25.052423,121.520302
Zhongshan,Zhongshan Elementary School MRT station,"B1, No. 71, Sec. 1, Minquan E. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.062701,121.526682
Zhongshan,Zhongshan Junior High School MRT station,"No.376, Fuxing N. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.060836,121.544022
Zhongshan,Minquan W. Rd. MRT station,"No. 72, Minquan W. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,3,25.062605,121.519547
Zhongshan,Xingtian Temple MRT station,"B1, No. 316, Songjiang Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.059975,121.533192
Zhongshan,Songjiang Nanjing MRT station,"B1, No. 126, Songjiang Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,4,25.051352,121.532918
Zhongshan,Linsen Park,"Taipei City Zhongshan Dist. intersection of Sec. 1, Nanjing E. Rd. and  eastern side of Linsen N. Rd.","Yuanshan Park Management Division, Public Works Department",02-25850192,00:00~24:00,1,25.05289,121.526297
Zhongshan,Taipei Expo Park,"No.1, Yumen St., Zhongshan Dist., Taipei City","Yuanshan Park Management Division, Public Works Department",02-21828886,00:00~24:00,3,121.52122,25.070663
Zhongshan,Nanjing Fuxing MRT station,"No. 253, Sec. 3, Nanjing E. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,3,25.052392,121.544527
Zhongshan,Arts Park,Taipei City Zhongshan Dist. eastern side of Zhongshan N. Rd.,"Yuanshan Park Management Division, Public Works Department",02-25850192,00:00~24:00,3,25.069227,121.523767
Zhongshan,Xinsheng Park,"No.105, Sec. 3, Xinsheng N. Rd., Zhongshan Dist., Taipei City","Yuanshan Park Management Division, Public Works Department",02-25850192,00:00~24:00,3,25.068788,121.53243
Zhongshan,Xinsheng Viaduct Playground,"Taipei City Zhongshan Dist. intersection of Jinshan N. Rd. and Sec. 1, Bade Rd.",Department of Sports,02-25702330#6513,00:00~24:00,1,25.044894,121.530377
Zhongshan,Rongxing Garden Park,"No.1, Sec. 3, Minquan E. Rd., Zhongshan Dist., Taipei City(Intersection of Minquan E. Rd. and Jianguo N. Rd.)","Yuanshan Park Management Division, Public Works Department",02-25850192,00:00~24:00,2,25.0641,121.53844
Zhongshan,Taipei Zhongshan Sports Center,"NO.2, Lane 44, Section 2, Zhongshan N. Rd.",Taipei Zhongshan Sports Center,02-25811060,06:00~22:00,5,25.05489,121.521393
Zhongshan,Taipei Dazhi Branch Library,"3F, No. 25, Dazhi St.",Taipei Dazhi Branch Library,02-25336535,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.08185,121.546687
Zhongshan,Taipei Zhongshan Branch Library,"8F, No. 367, Songjiang Rd.",Taipei Zhongshan Branch Library,02-25026442,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.064426,121.533457
Zhongshan,Taipei Changan Branch Library,"4F, No. 3, Changan W. Rd.",Taipei Changan Branch Library,02-25625510,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.05021,121.520954
Zhongshan,Taipei Public Library Hengan Branch,"No.19, Lane 71, Sec.1, Minquan E. Rd.",Taipei Public Library Hengan Branch,02-25935482,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.064394,121.527136
Zhongshan,Taipei City Hospital Linsen Chinese Medicine Branch,"No.530, Linsen N. Rd., Zhongshan Dist., Taipei City",Taipei City Hospital Linsen Chinese Medicine Branch,02-25916681#533,00:00~24:00,8,25.063291,121.525628
Zhongshan,Taipei Museum of Contemporary Art,"No.39, Changan W. Rd., Datong Dist., Taipei City",Taipei Water Department North Division Business Office,02-21004115,00:00~24:00,1,25.050625,121.518721
Zhongshan,Shuanglian MRT station,"No. 47, Minsheng W. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.057496,121.520579
Zhongzheng,228 Peace Park,"No.3, Ketagalan Blvd., Zhongzheng Dist., Taipei City","Youth Park Management Division, Public Works Department",02-23032451,00:00~24:00,2,25.040898,121.515403
Zhongzheng,Xiaonanmen MRT station,"B1, No. 22, Aiguo W. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.035359,121.511382
Zhongzheng,Chiang Kai-Shek Memorial Hall MRT station,"B1, No. 8-1, Sec. 1, Roosevelt Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.034899,121.517187
Zhongzheng,Zhongzheng District Office,"4F., No.8, Sec. 1, Roosevelt Rd., Zhongzheng Dist., Taipei City",Zhongzheng District Office,02-23416721,08:00~18:00,1,25.032211,121.518347
Zhongzheng,Gongguan MRT station,"B1, No.74, Sec. 4, Roosevelt Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.014685,121.534767
Zhongzheng,Guting MRT station,"B1, No. 164-1, Sec. 2, Roosevelt Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.027499,121.522304
Zhongzheng,NTU Hospital MRT station,"B1, No. 52, Gongyuan Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.040962,121.515774
Zhongzheng,Taipei Main MRT station,"No. 49, Sec. 1, Zhongxiao W. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.046485,121.517253
Zhongzheng,Taipower Building MRT station,"B1, No. 126-5, Sec. 3, Roosevelt Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.019779,121.528519
Zhongzheng,Taipei Water Park,"No.1, Siyuan St., Zhongzheng Dist., Taipei City",Taipei Water Department,02-83695104,08:00~18:00,9,25.013165,121.530215
Zhongzheng,Ximen MRT station,"B1, No. 32-1, Baoqing Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.042309,121.508805
Zhongzheng,Shandao Temple MRT station,"B1, No. 58, Sec. 1, Zhongxiao E. Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.044999,121.523221
Zhongzheng,Taipei ZhongZheng Sports Center,"No. 1, Section 1, Xinyi Rd",Taipei ZhongZheng Sports Center,02-33225016,06:00~22:00,9,25.038234,121.519291
Zhongzheng,Taipei Municipal Library Wang Guan Ying Branch,"No. 265, Sec. 2, Tingzhou Rd.",Taipei Municipal Library Wang Guan Ying Branch,02-23678734,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.022545,121.523804
Zhongzheng,Taipei Chengzhong Branch Library," 3F, No. 46, Sec. 2, Jinan Rd.",Taipei Chengzhong Branch Library,02-23938274,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.040328,121.530854
Zhongzheng,Taipei City Hospital Heping Branch,"No.33, Sec. 2, Zhonghua Rd., Zhongzheng Dist., Taipei City",Taipei City Hospital Heping Branch,02-23889595,00:00~24:00,33,25.035561,121.506588
Zhongzheng,Taipei City Hospital Heping Fuyou Branch,"No.12, Fuzhou St., Zhongzheng Dist., Taipei City",Taipei City Hospital Heping Fuyou Branch,02-23916470#214,00:00~24:00,17,25.029082,121.519268
Zhongzheng,Taipei Botanical Garden,"No.53, Nanhai Rd., Zhongzheng Dist., Taipei City",Taipei Botanical Garden,02-23039978,05:30~22:00,3,25.03196,121.50977
Neihu,Dahu Park,"No.31, Sec. 5, Chenggong Rd., Neihu Dist., Taipei City","Yuanshan Park Management Division, Public Works Department",02-25851430,00:00~24:00,1,121.603267,25.080472
Neihu,Dahu Park MRT station,"No. 11, Sec. 5, Chenggong Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.083679,121.602242
Neihu,Neihu MRT station,"No. 186, Sec. 4, Chenggong Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.083822,121.594299
Neihu,Neihu Sports Park,"No.2, Sec. 2, Jiuzong Rd., Neihu Dist., Taipei City(Neihu Sewage Treatment Plant Feedback Park)",Public Works Department,02-87919494#103,00:00~24:00,1,25.068674,121.574422
Neihu,Wende MRT station,"No. 214, Wende Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.078349,121.584465
Neihu,Xihu MRT station,"No. 256, Sec. 1, Neihu Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.082022,121.567139
Neihu,Donghu MRT station,"No. 235, Sec. 3, Kangning Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.06709,121.611888
Neihu,Gangqian MRT station,"No. 663, Sec. 1, Neihu Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.080116,121.575722
Neihu,Huzhou MRT station,"No. 16, Sec. 3, Kangning Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.072543,121.607194
Neihu,Taipei Neihu Sports Center,"No.12, Zhouzi St.",Taipei Neihu Sports Center,02-26277776,06:00~22:00,4,25.078266,121.575229
Neihu,Taipei Neihu Branch Library,"6F, No. 99, Sec. 6, Minquan E. Rd.",Taipei Neihu Branch Library,02-27918772,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.069239,121.589128
Neihu,Taipei Xizhong Branch Library,"1-2F, No.66, Ln. 285, Sec. 1, Neihu Rd.",Taipei Xizhong Branch Library,02-87515497,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.083659,121.562154
Neihu,Taipei Xihu Branch Library,"No. 594, Sec. 1, Neihu Rd.",Taipei Xihu Branch Library,02-27973183,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,4,25.07894,121.577561
Neihu,Taipei Donghu Branch Library,"No. 6, Wufen St.",Taipei Donghu Branch Library,02-26323378,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.067415,121.61261
Wenshan,Muzha MRT station,"No.135, Sec. 4, Muzha Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.998202,121.573381
Wenshan,Xinhai MRT station,"No.128, Sec. 4, Xinhai Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.00512,121.557015
Wenshan,Taipei Zoo MRT station,"No.32, Sec. 2, Xinguang Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.998276,121.579897
Wenshan,Jingmei MRT station,"No. 393, Sec. 6, Roosevelt Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.99223,121.540694
Wenshan,Jingmei Sports Park,"No.79, Jingfeng St., Wenshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,121.544136,25.002735
Wenshan,Jinghua Park,"Opposite No.42, Jinghua St., Wenshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,24.995231,121.5431
Wenshan,Wanfang Community MRT station,"No.60, Wanfang Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.998599,121.568384
Wenshan,Wanfang Hospital MRT station,"No.113, Sec. 3, Xinglong Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.999333,121.557732
Wenshan,Wanlong MRT station,"No. 214, Sec. 5, Roosevelt Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.002793,121.538626
Wenshan,Taipei Wenshan Sports Center,"No. 222, Section 3, Xinglong Rd.",Taipei Wenshan Sports Center,02-22308268,06:00~22:00,5,24.997445,121.559465
Wenshan,Taipei Zoo,"No. 30, Sec.2, Xinguang Rd.",Taipei Zoo,02-29382300#630,09:00~17:00,2,121.5807,24.99859
Wenshan,Taipei Lixing Branch Library,"5-8F, No. 22, Yishou St.",Taipei Lixing Branch Library,02-86612196,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,5,24.979634,121.55648
Wenshan,Taipei Wenshan Branch Library,"7F, No. 160, Sec. 2, Xinglong Rd.",Taipei Wenshan Branch Library,02-29315339,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,5,24.999697,121.547614
Wenshan,Taipei Muzha Branch Library,"3F, No. 3, Lane 13, Baoyi Rd.",Taipei Muzha Branch Library,02-29397520,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,24.986603,121.56814
Wenshan,Taipei Yongjian Branch Library,"4F, No. 177, Sec. 1, Muzha Rd.",Taipei Yongjian Branch Library,02-22367448,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,24.987736,121.550974
Wenshan,Taipei Public Library Ankang Branch,"4F, No. 1, Lane 105, Sec. 4, Xinglong Rd.",Taipei Public Library Ankang Branch,02-29390180,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,24.987728,121.5608
Wenshan,Taipei Jingmei Branch Library,"No. 50, Lane 176, Sec. 5, Roosevelt Rd.",Taipei Jingmei Branch Library,02-29328457,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.003607,121.536345
Wenshan,Taipei Jingxin Branch Library,"5-10F, No. 151, Jinghou St.",Taipei Jingxin Branch Library,02-29331244,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,6,24.990137,121.542022
Wenshan,Taipei Public Library Wanfang Branch,"No. 25, Wanmei St.",Taipei Public Library Wanfang Branch,02-22305233,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.002215,121.569178
Wenshan,Taipei Wanxing Branch Library,"4F, No. 27, Wanshou Rd.",Taipei Wanxing Branch Library,02-22345501,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,4,24.988685,121.576501
Wenshan,Xinglong Park,"Ln. 220, Sec. 2, Xinglong Rd., Wenshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884256,00:00~24:00,1,25.000615,121.551876
Wenshan,Maokong Gondola Taipei Zoo Station,"No.8, Sec. 2, Xinguang Rd., Wenshan Dist., Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,24.996052,121.576164
Beitou,Qixing Park,"Aly. 2, Ln. 157, Guangming Rd., Beitou Dist., Taipei City(Beside Qihu Park)","Yangmingshan Park Management Division, Public Works Department",02-28616533,00:00~24:00,1,25.13655,121.502348
Beitou,Beitou Park,"No.251, Guangming Rd., Beitou Dist., Taipei City","Yangmingshan Park Management Division, Public Works Department",02-28613368,00:00~24:00,2,25.136336,121.506229
Beitou,Beitou MRT station,"No. 1, Guangming Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.132068,121.498234
Beitou,Shipai MRT station,"No. 200, Sec. 1, Shipai Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.114852,121.515189
Beitou,Qiyan MRT station,"No. 489, Sec. 2, Sanhe St., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.1261,121.500942
Beitou,Zhongyi MRT station,"No. 301, Sec. 4, Zhongyang N. Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.131062,121.473214
Beitou,Mingde MRT station,"No. 95, Mingde Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.109317,121.519024
Beitou,Qianshan Park,"No.4, Jianguo St., Beitou Dist., Taipei City","Yangmingshan Park Management Division, Public Works Department",02-28616534,00:00~24:00,1,25.150675,121.548623
Beitou,Sengen Park,"No.155, Zhuhai Rd., Beitou Dist., Taipei City","Yangmingshan Park Management Division, Public Works Department",02-28616533,00:00~24:00,1,25.141778,121.50968
Beitou,Qilian MRT station,"No. 301, Sec. 2, Donghua St., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.120823,121.506824
Beitou,Liuhuanggu Recreation Area,"No.200, Quanyuan Rd., Beitou Dist., Taipei City","Public Utilities Division,Department of Economic Development",02-27208889,00:00~24:00,1,25.143723,121.521581
Beitou,Fuxing Park,"Opposite No.65, Zhonghe St., Beitou Dist., Taipei City","Public Utilities Division,Department of Economic Development",02-27208889,00:00~24:00,2,25.138884,121.502129
Beitou,Fuxinggang MRT station,"No. 10, Lane 53, Sec. 3, Zhongyang N. Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.13766,121.485365
Beitou,Xinbeitou MRT station,"No. 700, Daye Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.136996,121.50343
Beitou,Taipei Beitou Sports Center,"No.100, Lane 39, Section 1, Shipai Rd.",Taipei Beitou Sports Center,02-28202880,06:00~22:00,4,25.116473,121.509762
Beitou,Taipei Beitou Branch Library,"No.251, Guangming Rd., Beitou Dist., Taipei City",Taipei Beitou Branch Library,02-28912095,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.136298,121.506296
Beitou,Taipei Public Library Yongming Branch,"7-8F., No.115, Sec. 2, Shipai Rd., Beitou Dist., Taipei City ",Taipei Public Library Yongming Branch,02-28234141,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.118068,121.517176
