行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度
大同,臺北市立圖書館建成分館,臺北市大同區民生西路198號4樓,臺北市立圖書館建成分館,02-25582320,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.057032,121.516825
大同,臺北市立圖書館蘭州民眾閱覽室,臺北市大同區昌吉街57號4樓,臺北市立圖書館蘭州民眾閱覽室,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.066061,121.515106
大同,臺北市立圖書館延平分館,臺北市大同區保安街47號,臺北市立圖書館延平分館,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,25.059169,121.512092
大同,永樂市場,臺北市大同區迪化街一段21號,工務局公園處園藝工程隊,02-23815132,00:00~24:00,1,迪化街一段84號對面,25.05589,121.51001
大同,臺北市立圖書館大同分館,臺北市大同區重慶北路三段318號,臺北市立圖書館大同分館,02-2954-3236,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.074304,121.513555
大同,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,臺北市立聯合醫院中興院區,02-25523234#3279,00:00~24:00,46,,25.05097,121.509321
大同,大橋頭站,臺北市大同區民權西路223號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,1號出口,25.063195,121.512619
大同,圓山站,臺北市大同區酒泉街9之1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.070823,121.520082
大同,北門站,臺北市大同區塔城街10號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,1、2號出口間,25.049408,121.510256
大安,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,臺北市立聯合醫院仁愛院區,02-27093600,00:00~24:00,53,,25.037512,121.545224
大安,臺北市立圖書館龍安民眾閱覽室,臺北市大安區永康街60號3樓,臺北市立圖書館龍安民眾閱覽室,02-23945485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.028559,121.529601
大安,臺北市立大安運動中心,臺北市大安區辛亥路3段55號,臺北市立大安運動中心,02-23770300,06:00~22:00,11,,25.020777,121.545636
大安,臺北市立圖書館道藩分館,臺北市大安區辛亥路三段11號3樓,臺北市立圖書館道藩分館,02-27334031,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.021577,121.544049
大安,臺北市立圖書館大安分館,臺北市大安區辛亥路三段223號4樓,臺北市立圖書館大安分館,02-27325422,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.016022,121.550788
大安,臺北市立圖書館成功民眾閱覽室,臺北市大安區和平東路二段311巷29號4樓,臺北市立圖書館成功民眾閱覽室,02-27013604,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.025435,121.545272
大安,臺北市立圖書館延吉民眾閱覽室,臺北市大安區延吉街236巷17號3~4F,臺北市立圖書館延吉民眾閱覽室,02-27081964,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.03613,121.555015
大安,臺北市立圖書館總館,臺北市大安區建國南路二段125號,臺北市立圖書館總館,02-27552823,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,25,,25.029152,121.538369
大安,六張犁站,臺北市大安區和平東路3段168號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,25.023878,121.552755
大安,麟光站,臺北市大安區和平東路3段410號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口左側,25.01864,121.5586
大安,忠孝復興站,臺北市大安區忠孝東路3段286號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,1號出口及2號出口,25.041263,121.543247
大安,忠孝敦化站,臺北市大安區忠孝東路4段182號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,3號出口,25.041347,121.551494
大安,東門站,臺北市大安區信義路2段166號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,1、3號出口間,25.034157,121.527972
大安,大安森林公園站,臺北市大安區信義路3段100號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,5號出口,25.063067,121.552116
大安,大安站,臺北市大安區信義路4段2號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,4號出口,25.033164,121.544005
大安,大安站(信義),臺北市大安區信義路4段2號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,1、2號出口間,25.033164,121.544005
大安,大安森林公園,臺北市大安區建國南路2段,工務局公園處青年管理所,02-23032451,00:00~24:00,3,兒童遊戲區、溜冰場旁、籃球場旁,25.032738,121.536303
大安,科技大樓站,臺北市大安區復興南路2段235號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,25.026134,121.543472
大安,忠孝新生站,臺北市大安區新生南路1段67號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,3,1號出口、5號出口,25.042746,121.531944
中山,大佳河濱公園,大佳河濱公園,工務局水利工程處,02-27126390,00:00~24:00,8,大佳河濱公園,25.075124,121.530697
中山,美術公園,臺北市中山區中山北路東側美術公園,工務局公園處圓山管理所,02-25850192,00:00~24:00,3,公園內,25.069227,121.523767
中山,臺北市立圖書館大直分館,臺北市中山區大直街25號3樓,臺北市立圖書館大直分館,02-25336535,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.08185,121.546687
中山,臺北市立中山運動中心,臺北市中山區中山北路二段44巷2號,臺北市立中山運動中心,02-25811060,06:00~22:00,5,,25.05489,121.521393
中山,臺北市立圖書館恆安民眾閱覽室,臺北市中山區民權東路1段71巷,臺北市立圖書館恆安民眾閱覽室,02-25935482,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.064394,121.527136
中山,花博公園,臺北市中山區玉門街1號,工務局公園處圓山管理所,02-21828886,00:00~24:00,3,爭艷館前、MAJI前廣場、花牆前,121.52122,25.070663
中山,松江南京站,臺北市中山區松江路126號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,4,2號出口及4、5、6、7號出口中間,25.051352,121.532918
中山,臺北市立圖書館中山分館,臺北市中山區松江路367號8樓,臺北市立圖書館中山分館,02-25026442,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.064426,121.533457
中山,臺北市立聯合醫院林森中醫院區,臺北市中山區林森北路530號,臺北市立聯合醫院林森中醫院區,02-25916681#533,00:00~24:00,8,,25.063291,121.525628
中山,臺北市立圖書館長安分館,臺北市中山區長安西路3號4樓,臺北市立圖書館長安分館,02-25625510,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.05021,121.520954
中山,大直站,臺北市中山區北安路534-1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.079658,121.546882
中山,雙連站,臺北市中山區民生西路47號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.057496,121.520579
中山,民權西路站,臺北市中山區民權西路72號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,3,1號出口、9號出口,25.062605,121.519547
中山,中山國小站,臺北市中山區民權東路1段71號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,4號出口,25.062701,121.526682
中山,榮星花園,臺北市中山區民權東路三段1號(民權東路建國北路),工務局公園處圓山管理所,02-25850192,00:00~24:00,2,遊戲場及籃球場旁,25.0641,121.53844
中山,行天宮站,臺北市中山區松江路316號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,3號出口,25.059975,121.533192
中山,新生高架籃球場,臺北市中山區金山北路與八德路一段口附近,體育局,02-25702330#6513,00:00~24:00,1,籃球場旁,25.044894,121.530377
中山,中山市場,臺北市中山區長安西路3號,北水處北區分處,02-21004115,00:00~24:00,1,大門,25.050094,121.521021
中山,中山站,臺北市中山區南京西路16號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,3,1號出口、5號出口,25.052423,121.520302
中山,南京復興站,臺北市中山區南京東路3段253號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,3,2號出口、7號出口,25.052392,121.544527
中山,林森公園,臺北市中山區南京東路一段、林森北路右側,工務局公園處圓山管理所,02-25850192,00:00~24:00,1,遊戲場旁,25.05289,121.526297
中山,中山國中站,臺北市中山區復興北路376號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口左側,25.060836,121.544022
中山,新生公園,臺北市中山區新生北路三段105號,工務局公園處圓山管理所,02-25850192,00:00~24:00,3,公園內、公園管理處對面,25.068788,121.53243
中正,臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,臺北市立聯合醫院和平院區,02-23889595,00:00~24:00,33,,25.035561,121.506588
中正,臺北市立圖書館古亭分館,臺北市中正區汀州路二段265號,臺北市立圖書館古亭分館,02-23678734,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.022545,121.523804
中正,臺北市立中正運動中心,臺北市中正區信義路一段一號,臺北市立中正運動中心,02-33225016,06:00~22:00,9,,25.038234,121.519291
中正,臺北植物園,臺北市中正區南海路53號,臺北植物園,02-23039978,05:30~22:00,3,入口圓環旁、欖仁廣場、名人園區,25.03196,121.50977
中正,臺北市立聯合醫院和平婦幼院區,臺北市中正區福州街12號,臺北市立聯合醫院和平婦幼院區,02-23916470#214,00:00~24:00,17,,25.029082,121.519268
中正,臺北市立圖書館城中分館,臺北市中正區濟南路二段46號3樓,臺北市立圖書館城中分館,02-23938274,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.040328,121.530854
中正,台大醫院站,臺北市中正區公園路52號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.040962,121.515774
中正,台北車站,臺北市中正區忠孝西路1段49號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,4號出口,25.046485,121.517253
中正,善導寺站,臺北市中正區忠孝東路1段58號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.044999,121.523221
中正,二二八和平公園,臺北市中正區凱達格蘭大道3號,工務局公園處青年管理所,02-23032451,00:00~24:00,2,公園內,25.040898,121.515403
中正,小南門站,臺北市中正區愛國西路22號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,3、4號出口間,25.035359,121.511382
中正,中正紀念堂站,臺北市中正區羅斯福路1段8之1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,5號出口,25.034899,121.517187
中正,中正區公所,臺北市中正區羅斯福路1段8號4F,中正區公所,02-23416721,08:00~18:00,1,1樓,25.032211,121.518347
中正,古亭站,臺北市中正區羅斯福路2段164之1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,6號出口,25.027499,121.522304
中正,台電大樓站,臺北市中正區羅斯福路3段126-5號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.019779,121.528519
中正,公館站,臺北市中正區羅斯福路4段64-1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.014685,121.534767
中正,西門站,臺北市中正區寶慶路32-1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,4號出口,25.042309,121.508805
內湖,臺北市立圖書館東湖分館,臺北市內湖區五分街6號,臺北市立圖書館東湖分館,02-26323378,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.067415,121.61261
內湖,臺北市立圖書館西中分館,臺北市內湖區內湖路1段285巷66號1-2樓,臺北市立圖書館西中分館,02-87515497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.083659,121.562154
內湖,臺北市立圖書館西湖分館,臺北市內湖區內湖路一段594號,臺北市立圖書館西湖分館,02-27973183,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,25.07894,121.577561
內湖,臺北市立圖書館內湖分館,臺北市內湖區民權東路六段99號6樓,臺北市立圖書館內湖分館,02-27918772,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.069239,121.589128
內湖,大湖公園,臺北市內湖區成功路五段31號,工務局公園處圓山管理所,02-25851430,00:00~24:00,1,下錦帶橋右邊,121.603267,25.080472
內湖,臺北市立內湖運動中心,臺北市內湖區洲子街12號,臺北市立內湖運動中心,02-26277776,06:00~22:00,4,,25.078266,121.575229
內湖,西湖站,臺北市內湖區內湖路1段265號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.082022,121.567139
內湖,港墘站,臺北市內湖區內湖路1段663號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.080116,121.575722
內湖,文德站,臺北市內湖區文德路214號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.078349,121.584465
內湖,內湖站,臺北市內湖區成功路4段186號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.083822,121.594299
內湖,大湖公園站,臺北市內湖區成功路5段11號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.083679,121.602242
內湖,葫洲站,臺北市內湖區康寧路3段16號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.072543,121.607194
內湖,東湖站,臺北市內湖區康寧路3段235號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,3號出口,25.06709,121.611888
內湖,內湖運動公園,臺北市內湖區舊宗路二段2號(內湖污水處理廠回饋公園),衛工處,02-87919494#103,00:00~24:00,1,遊戲場旁,25.068674,121.574422
文山,臺北市立圖書館力行分館,臺北市文山區一壽街22號5~8樓,臺北市立圖書館力行分館,02-86612196,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,24.979634,121.55648
文山,臺北市立圖書館永建分館,臺北市文山區木柵路一段177號4樓,臺北市立圖書館永建分館,02-22367448,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,24.987736,121.550974
文山,臺北市立圖書館木柵分館,臺北市文山區保儀路一段13巷3號3樓,臺北市立圖書館木柵分館,02-29397520,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,24.986603,121.56814
文山,臺北市立圖書館景新分館,臺北市文山區景後街149巷間,臺北市立圖書館景新分館,02-29331244,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,6,,24.990137,121.542022
文山,臺北市立圖書館萬芳民眾閱覽室,臺北市文山區萬美街1段25號,臺北市立圖書館萬芳民眾閱覽室,02-22305233,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.002215,121.569178
文山,臺北市立圖書館萬興分館,臺北市文山區萬壽路27號4樓,臺北市立圖書館萬興分館,02-22345501,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,24.988685,121.576501
文山,臺北市立圖書館文山分館,臺北市文山區興隆路2段106號7樓,臺北市立圖書館文山分館,02-29315339,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,24.999697,121.547614
文山,臺北市立文山運動中心,臺北市文山區興隆路3段222號,臺北市立文山運動中心,02-22308268,06:00~22:00,5,,24.997445,121.559465
文山,臺北市立圖書館安康民眾閱覽室,臺北市文山區興隆路4段105巷1號4樓,臺北市立圖書館安康民眾閱覽室,02-29390180,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,24.987728,121.5608
文山,臺北市立圖書館景美分館,臺北市文山區羅斯福路五段176巷50號,臺北市立圖書館景美分館,02-29328457,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.003607,121.536345
文山,木柵站,臺北市文山區木柵路4段135號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,24.998202,121.573381
文山,辛亥站,臺北市文山區辛亥路4段128號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,25.00512,121.557015
文山,景華公園,臺北市文山區景華街42號對面,工務局公園處南港管理所,02-27884255,00:00~24:00,1,3號入口處,24.995231,121.5431
文山,景美運動公園,臺北市文山區景豐街79號,工務局公園處南港管理所,02-27884255,00:00~24:00,1,圓環休息區旁,121.544136,25.002735
文山,臺北市立動物園,臺北市文山區新光路2段,臺北市立動物園,02-29382300#630,09:00~17:00,2,入口,121.5807,24.99859
文山,貓空纜車動物園站,臺北市文山區新光路2段32號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,2號出口,24.996052,121.576164
文山,動物園站,臺北市文山區新光路2段32號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,24.998276,121.579897
文山,萬芳社區站,臺北市文山區萬芳路60號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,24.998599,121.568384
文山,興隆公園,臺北市文山區興隆路2段220巷,工務局公園處南港管理所,02-27884256,00:00~24:00,1,瓦斯行側面,25.000615,121.551876
文山,萬芳醫院站,臺北市文山區興隆路3段113號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,24.999333,121.557732
文山,萬隆站,臺北市文山區羅斯福路5段214號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,4號出口,25.002793,121.538626
文山,景美站,臺北市文山區羅斯福路6段216號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,24.99223,121.540694
北投,奇岩站,臺北市北投區三合街2段487號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,25.1261,121.500942
北投,關渡站,臺北市北投區大度路3段296巷51號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.125539,121.467283
北投,新北投站,臺北市北投區大業路700號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,25.136996,121.50343
北投,復興崗站,臺北市北投區中央北路3段53巷10號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.13766,121.485365
北投,忠義站,臺北市北投區中央北路4段301號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,25.131062,121.473214
北投,復興公園,臺北市北投區中和街65號對面,產發局公用事業科,02-27208889,00:00~24:00,2,泡腳池旁、運動場旁邊,25.138884,121.502129
北投,臺北市立圖書館秀山民眾閱覽室,臺北市北投區中和街534號5至9樓,臺北市立圖書館秀山民眾閱覽室,02-28921475,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.145541,121.493219
北投,臺北市立圖書館清江分館,臺北市北投區公館路198號3樓,臺北市立圖書館清江分館,02-28960315,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.127728,121.50736
北投,臺北市立北投運動中心,臺北市北投區石牌路一段39巷100號,臺北市立北投運動中心,02-28202880,06:00~22:00,4,,25.116473,121.509762
北投,臺北市立圖書館永明閱覽室,臺北市北投區石牌路二段115號7、8樓,臺北市立圖書館永明閱覽室,02-28234141,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.118068,121.517176
北投,臺北市立圖書館吉利分館,臺北市北投區立農街一段366號,臺北市立圖書館吉利分館,02-28201633,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.119288,121.508402
北投,臺北市立圖書館北投分館,臺北市北投區光明路251號,臺北市立圖書館北投分館,02-28912095,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.136298,121.506296
北投,臺北市立圖書館石牌分館,臺北市北投區明德路208巷5號3-10樓,臺北市立圖書館石牌分館,02-28239634,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,8,,25.113142,121.522624
北投,臺北市立圖書館稻香分館,臺北市北投區稻香路81號3、4樓,臺北市立圖書館稻香分館,02-28940662,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.140967,121.489548
北投,石牌站,臺北市北投區石牌路1段200號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口1,25.114852,121.515189
北投,七星公園,臺北市北投區光明路157巷2弄(七虎公園旁),工務局公園處陽明山管理所,02-28616533,00:00~24:00,1,電梯旁,25.13655,121.502348
北投,北投站,臺北市北投區光明路1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口右側,25.132068,121.498234
北投,明德站,臺北市北投區明德路95號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,1號出口,25.109317,121.519024
北投,唭哩岸站,臺北市北投區東華街2段301號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,出口1,25.120823,121.506824
北投,前山公園,臺北市北投區建國街4號,工務局公園處陽明山管理所,02-28616534,00:00~24:00,1,籃球場旁,25.150675,121.548623
北投,硫磺谷遊憩區,臺北市北投區泉源路200號,產發局公用事業科,02-27208889,00:00~24:00,1,泡腳池旁,25.143723,121.521581
北投,泉源公園,臺北市北投區珠海路155號,工務局公園處陽明山管理所,02-28616533,00:00~24:00,1,義方國小對面,25.141778,121.50968
松山,松山站,臺北市松山區八德路4段742號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,3號出口,25.050361,121.578119
松山,臺北市立圖書館松山分館,臺北市松山區八德路四段688號6、7、8樓,臺北市立圖書館松山分館,02-27531875,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,25.049847,121.57685
松山,臺北市立圖書館三民分館,臺北市松山區民生東路五段163之1號5、6樓,臺北市立圖書館三民分館,02-27600408,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.059315,121.562908
松山,臺北市立圖書館中崙分館,臺北市松山區長安東路2段229號7~10樓,臺北市立圖書館中崙分館,02-87736858,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.048407,121.545756
松山,臺北市立圖書館啟明分館,臺北市松山區敦化北路155巷76號,臺北市立圖書館啟明分館,02-25148443,09:00~17:00,4,,25.054339,121.551794
松山,臺北市立圖書館民生分館,臺北市松山區敦化北路199巷5號4樓,臺北市立圖書館民生分館,02-27138083,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.057122,121.55113
松山,臺北市立松山運動中心,臺北市松山區敦化北路一號,臺北市立松山運動中心,02-66176789,06:00~22:00,3,,25.048607,121.550231
松山,台北小巨蛋站,臺北市松山區南京東路4段10-1號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,2號出口,25.051515,121.551023
松山,南京三民站,臺北市松山區南京東路5段237號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,1號出口,25.051539,121.563305
松山,民權公園,臺北市松山區富錦街389巷12弄18號,工務局公園處南港管理所,02-27884255,00:00~24:00,1,公園內,25.059878,121.551933
松山,松山機場站,臺北市松山區敦化北路338號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,3號出口,25.063067,121.552116
松山,三民公園,臺北市松山區撫遠街298號,工務局公園處圓山管理所,02-25850192,00:00~24:00,1,遊戲場旁,25.062557,121.568151
信義,市政大樓,臺北市信義區市府路1號,市政大樓公管中心,02-27208889,08:00~18:00,6,中央南2樓、中北2樓、中北1樓、中北B1樓、中央南1樓、中央南B1樓,25.037214,121.564472
信義,國父紀念館,臺北市信義區忠孝東路4段400號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,4號出口,25.041116,121.557942
信義,市政府站,臺北市信義區忠孝東路5段2號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.040958,121.565295
信義,永春站,臺北市信義區忠孝東路5段455號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,5號出口,25.040836,121.576648
信義,信義414號,臺北市信義區信安街、吳興街220巷交口(原陸軍保養廠),公園處南港所,02-27884255,00:00~24:00,1,籃球場旁,25.02701,121.558836
信義,臺北市政府大樓,臺北市信義區市府路1號,臺北市政府大樓,02-27208889,西大門:07:00~22:00、東大門、南大門、北大門:07:00~200:00、假日不開放,102,,25.037525,121.563782
信義,臺北市立圖書館三興分館,臺北市信義區吳興街156巷6號4~5樓,臺北市立圖書館三興分館,02-87321063,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.029075,121.561188
信義,臺北市立圖書館永春分館,臺北市信義區松山路294號3、4樓,臺北市立圖書館永春分館,02-27609730,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.043069,121.577577
信義,臺北市立圖書館六合分館,臺北市信義區松仁路240巷19號3~5樓,臺北市立圖書館六合分館,02-27292485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,25.024541,121.568918
信義,臺北市立信義運動中心,臺北市信義區松勤路100號,臺北市立信義運動中心,02-87861911,06:00~22:00,6,,25.031866,121.566678
信義,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,臺北市立聯合醫院松德院區,02-27263141#1390,00:00~24:00,40,,25.030508,121.574895
信義,信義安和站,臺北市信義路4段212號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,5號出口,25.033316,121.553587
信義,象山站,臺北市信義路5段152號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,2號出口,25.032733,121.569546
信義,台北101/世貿站,臺北市信義路5段20號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,2,4、5號出口間,25.033143,121.5632
南港,玉成公園,臺北市南港區成福路105號對面,工務局公園處南港管理所,02-27884255,00:00~24:00,2,籃球場旁,25.042417,121.587277
南港,後山埤站,臺北市南港區忠孝東路6段2號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,3號出口,25.04528,121.582872
南港,昆陽站,臺北市南港區忠孝東路6段451號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,3號出口,25.050608,121.593627
南港,南港站,臺北市南港區忠孝東路7段380號,臺北大眾捷運股份有限公司,02-21812345,06:00~23:00,1,2號出口,25.051943,121.607446
南港,南港公園,臺北市南港區東新街170號,工務局公園處南港管理所,02-27884255,00:00~24:00,1,籃球場旁,25.046018,121.591209
南港,臺北市立南港運動中心,臺北市南港區玉成街69號,臺北市立南港運動中心,02-22536279,06:00~22:00,8,,25.048938,121.58184
南港,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,臺北市立聯合醫院忠孝院區,02-27861288#8094,00:00~24:00,32,,25.046533,121.586075
